route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000262,E21D,航天城,大角咀(維港灣),CTB-E21D-I,航天城 (經:東涌北),大角咀 (維港灣),forward,0.429,1.000,0.714,
1764,41A,華富(中),北角碼頭(途經寶馬山),CTB-41A-I,北角碼頭,華富 (中),swapped,1.000,0.444,0.722,
8271,7,石排灣,中環碼頭(經置富花園),CTB-7-I,中環碼頭,石排灣,swapped,1.000,0.444,0.722,
1000295,10,堅尼地城,北角碼頭(不經遮打道),CTB-10-I,北角碼頭,堅尼地城,swapped,1.000,0.444,0.722,
1000346,5X,銅鑼灣(威非路道),堅尼地城(不經雪廠街),CTB-5X-I,銅鑼灣 (威非路道),堅尼地城,forward,1.000,0.444,0.722,
1000326,1,中環 (港澳碼頭),跑馬地(上)(不經遮打道),CTB-1-I,跑馬地 (上),中環 (港澳碼頭),swapped,1.000,0.444,0.722,
8330,789,小西灣(藍灣半島),金鐘(樂禮街)(不停富景花園),CTB-789-I,金鐘 (樂禮街),小西灣 (藍灣半島),swapped,1.000,0.455,0.727,
1000279,720A,嘉亨灣,中環 (畢打街),CTB-720A-O,嘉亨灣,金鐘 (海富中心)/ 中環(畢打街),forward,1.000,0.455,0.727,
1000523,NA21,港珠澳大橋香港口岸,大角咀 (海輝道) (循環線),CTB-NA21-I,大角咀 (海輝道),機場 / 港珠澳大橋香港口岸,swapped,0.818,0.667,0.742,
1509,13,金鐘 (添馬街),旭龢道,CTB-13-I,旭龢道 (半山區),金鐘 (添馬街),swapped,1.000,0.500,0.750,
1523,25A,會展站,寶馬山(循環線),CTB-25A-I,寶馬山,會展站,swapped,1.000,0.500,0.750,
1527,27,北角碼頭,寶馬山(循環線),CTB-27-I,寶馬山,北角碼頭,swapped,1.000,0.500,0.750,
1540,38,置富花園,北角碼頭(不經華富),CTB-38-I,北角碼頭,置富花園,swapped,1.000,0.500,0.750,
